date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:16:35	48548/48548	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202016%2001:11:29%20GMT	http://appcotech.net/templates/colorcv/colorcv/template-v1.html	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/template-v1.html	(from )
00:16:36	963/963	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Sep%202018%2018:16:35%20GMT	http://appcotech.net/robots.txt		(from )
00:16:37	2563/2563	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Sep%202018%2018:16:36%20GMT	http://appcotech.net/templates/colorcv/colorcv/images/favicon.ico	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/images/favicon.ico	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:38	29067/29067	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202016%2006:44:28%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/font-awesome.min.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:38	1379/1379	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Feb%202016%2021:34:00%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/jquery.jscrollpane.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/jquery.jscrollpane.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:40	3025/3025	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202016%2006:44:26%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/owl.carousel.min.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/owl.carousel.min.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:41	534/534	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202016%2006:44:26%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/ie10-viewport-bug-workaround.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/ie10-viewport-bug-workaround.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:41	2379/2379	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202016%2006:46:26%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/simplelightbox.min.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/simplelightbox.min.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:42	12891/12891	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202016%2006:44:28%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/hexagons.min.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/hexagons.min.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
00:16:44	71529/71529	---M--	200	added ('OK')	text/css	date:Sun,%2023%20Oct%202016%2001:11:01%20GMT	http://appcotech.net/templates/colorcv/colorcv/css/style.css	C:/My%20Web%20Sites/resume/appcotech.net/templates/colorcv/colorcv/css/style.css	(from http://appcotech.net/templates/colorcv/colorcv/template-v1.html)
